provider,model,random_seed,n_shot,example_strategy,expert_name,accuracy_vs_expert,kappa_vs_expert,f1_vs_expert,accuracy_vs_gt,accuracy_expert_vs_gt,n_total_test
classical,k-NN (k=5),42,20,mixed,euclidean,0.8769230769230769,0.7517307233229888,0.8769230769230769,0.8692307692307693,0.9466666666666667,130
classical,Logistic Regression,42,20,mixed,euclidean,1.0,1.0,1.0,0.9615384615384616,0.9466666666666667,130
classical,SVM (RBF),42,20,mixed,euclidean,0.9923076923076923,0.9845053635280095,0.9923127352413958,0.9538461538461539,0.9466666666666667,130
classical,k-NN (k=5),42,20,random,euclidean,0.9692307692307692,0.9381099738157581,0.9692673992673992,0.9384615384615385,0.9466666666666667,130
classical,Logistic Regression,42,20,random,euclidean,0.9846153846153847,0.968877184582236,0.9845895962275272,0.9538461538461539,0.9466666666666667,130
classical,SVM (RBF),42,20,random,euclidean,0.9846153846153847,0.968877184582236,0.9845895962275272,0.9538461538461539,0.9466666666666667,130
classical,k-NN (k=5),42,40,easy,euclidean,1.0,1.0,1.0,0.9272727272727272,0.9466666666666667,110
classical,Logistic Regression,42,40,easy,euclidean,1.0,1.0,1.0,0.9272727272727272,0.9466666666666667,110
classical,SVM (RBF),42,40,easy,euclidean,1.0,1.0,1.0,0.9272727272727272,0.9466666666666667,110
classical,k-NN (k=5),42,40,hard,euclidean,1.0,1.0,1.0,0.990909090909091,0.9466666666666667,110
classical,Logistic Regression,42,40,hard,euclidean,1.0,1.0,1.0,0.990909090909091,0.9466666666666667,110
classical,SVM (RBF),42,40,hard,euclidean,0.8,0.612303748798462,0.7963333333333333,0.7909090909090909,0.9466666666666667,110
classical,k-NN (k=5),42,40,mixed,euclidean,0.990909090909091,0.9816360601001669,0.9909174388513231,0.9727272727272728,0.9466666666666667,110
classical,Logistic Regression,42,40,mixed,euclidean,1.0,1.0,1.0,0.9818181818181818,0.9466666666666667,110
classical,SVM (RBF),42,40,mixed,euclidean,1.0,1.0,1.0,0.9818181818181818,0.9466666666666667,110
classical,k-NN (k=5),42,40,random,euclidean,0.990909090909091,0.9815621857190747,0.9908991854679559,0.9636363636363636,0.9466666666666667,110
classical,Logistic Regression,42,40,random,euclidean,0.9818181818181818,0.9630500503862949,0.9817754154447703,0.9545454545454546,0.9466666666666667,110
